epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,288.394,1.40884,4.20082,0.01228,0.61217,0.47707,0.52037,0.29307,1.41535,2.3085,0.01747,0.00996644,0.00332215,0.00996644,0.00332215,0.00996644,0.00332215,0.00996644,0.00332215
2,539.48,1.42923,1.89457,0.01287,0.61669,0.51563,0.56126,0.32497,1.48505,1.74962,0.01868,0.0197688,0.00658959,0.0197688,0.00658959,0.0197688,0.00658959,0.0197688,0.00658959
3,791.215,1.50147,1.71789,0.01382,0.57209,0.44782,0.47597,0.2439,1.72706,1.95204,0.02407,0.0293731,0.00979104,0.0293731,0.00979104,0.0293731,0.00979104,0.0293731,0.00979104
4,1042.63,1.54326,1.68137,0.01439,0.6166,0.46485,0.51305,0.27326,1.62638,1.91563,0.02165,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1294.78,1.52375,1.61583,0.01402,0.68894,0.57015,0.64101,0.37125,1.52548,1.53763,0.01976,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1546.43,1.5138,1.56293,0.0139,0.63846,0.51863,0.58435,0.33086,1.57465,1.64973,0.02094,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1798.26,1.49459,1.54225,0.01367,0.70793,0.56689,0.64846,0.38227,1.5001,1.46308,0.01921,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2049.73,1.49029,1.51498,0.0136,0.68504,0.58017,0.6532,0.38281,1.48926,1.41562,0.01926,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2301.01,1.47724,1.5036,0.01344,0.69943,0.58544,0.65306,0.38813,1.46334,1.40982,0.01884,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2553.03,1.47296,1.48949,0.01337,0.68832,0.59867,0.67184,0.40399,1.46936,1.36552,0.01867,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2805.45,1.46274,1.467,0.01329,0.69231,0.55599,0.63196,0.36799,1.50023,1.48361,0.01904,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3056.89,1.46198,1.45332,0.01319,0.72032,0.60212,0.68673,0.42067,1.42664,1.30788,0.0179,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3308.07,1.45682,1.44502,0.01317,0.67324,0.50332,0.58446,0.34696,1.52353,1.7268,0.02019,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3559.38,1.44957,1.4328,0.01319,0.69928,0.60191,0.67664,0.40334,1.43048,1.33258,0.01807,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3810.91,1.44975,1.42959,0.01303,0.74266,0.6069,0.69589,0.42163,1.43129,1.27167,0.0178,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4061.84,1.44348,1.42181,0.01299,0.73886,0.61439,0.70586,0.44008,1.3913,1.24032,0.01721,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4313.49,1.44007,1.41689,0.01294,0.74154,0.62919,0.71494,0.44552,1.36401,1.23813,0.01668,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4564.5,1.44054,1.41541,0.01293,0.74877,0.63685,0.72254,0.45641,1.37116,1.20007,0.01699,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4817.33,1.43794,1.4026,0.01286,0.72929,0.63138,0.71868,0.45985,1.36036,1.18143,0.01672,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,5068.38,1.43117,1.39394,0.01285,0.75075,0.62777,0.72131,0.45697,1.35587,1.20148,0.01674,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,5320.63,1.42688,1.39907,0.01282,0.74536,0.63495,0.72279,0.46219,1.35002,1.17,0.01635,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,5571.74,1.42906,1.38593,0.01285,0.75188,0.63505,0.73026,0.46379,1.33989,1.1744,0.01625,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5823.2,1.42479,1.38066,0.01277,0.74425,0.63951,0.73146,0.47104,1.33921,1.14766,0.01644,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,6074.53,1.42689,1.37587,0.01273,0.76508,0.64256,0.73882,0.4805,1.32381,1.1331,0.01609,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,6326.38,1.42021,1.37731,0.01267,0.75359,0.64686,0.74038,0.48072,1.31477,1.14883,0.01593,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,6578.23,1.42066,1.36346,0.01269,0.757,0.65967,0.74747,0.48759,1.30553,1.11586,0.01578,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,6830.49,1.41035,1.36339,0.01265,0.75644,0.6571,0.74455,0.48908,1.29705,1.12596,0.01557,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,7081.37,1.41245,1.35927,0.01263,0.76355,0.66179,0.74897,0.4906,1.29439,1.1111,0.01556,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,7332.21,1.41184,1.35945,0.01253,0.7637,0.65609,0.74925,0.49476,1.2907,1.09689,0.01547,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,7583.62,1.40911,1.35151,0.01255,0.75667,0.66567,0.7528,0.49587,1.29153,1.08645,0.01545,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,7835.3,1.40919,1.34894,0.0125,0.76934,0.65784,0.75397,0.4969,1.27725,1.11351,0.01522,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,8086.4,1.40624,1.34913,0.01251,0.76117,0.66228,0.75558,0.50146,1.27532,1.08815,0.01524,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8337.64,1.40192,1.33888,0.01246,0.77156,0.66539,0.75707,0.50186,1.27038,1.08884,0.01506,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,8588.22,1.39752,1.33799,0.01246,0.75773,0.66754,0.75763,0.50443,1.26958,1.07407,0.01504,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,8840.15,1.39882,1.33462,0.01242,0.75601,0.67257,0.75827,0.50586,1.26383,1.0799,0.01492,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,9091.94,1.39776,1.32684,0.01234,0.76417,0.66933,0.76142,0.50774,1.25704,1.08311,0.0148,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,9343.71,1.39454,1.32782,0.01226,0.76917,0.66745,0.76308,0.50931,1.25723,1.07575,0.01478,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,9594.32,1.39559,1.32383,0.0123,0.77229,0.66441,0.76027,0.50877,1.25693,1.07142,0.0148,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,9845.25,1.39193,1.31188,0.0123,0.77757,0.6647,0.76271,0.51169,1.25236,1.07081,0.0147,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,10096.6,1.38777,1.31335,0.01228,0.77301,0.66927,0.76465,0.51362,1.24978,1.06666,0.01468,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,10347.3,1.38988,1.2967,0.01227,0.78454,0.66388,0.76617,0.51484,1.24949,1.06322,0.01471,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,10598.4,1.38576,1.3061,0.01224,0.77731,0.66941,0.76619,0.51557,1.24621,1.06439,0.01463,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,10849.3,1.37567,1.29929,0.01216,0.77301,0.67005,0.76686,0.51758,1.24237,1.05511,0.01452,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,11100.7,1.3836,1.29376,0.01221,0.77036,0.67328,0.76541,0.51692,1.2374,1.06328,0.01447,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,11351.5,1.37411,1.29099,0.01215,0.77258,0.67341,0.76752,0.51812,1.23889,1.05513,0.01449,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,11602.7,1.37679,1.29472,0.01205,0.77233,0.67232,0.76665,0.51778,1.23765,1.05417,0.01445,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,11853.8,1.37039,1.28544,0.01206,0.77797,0.66742,0.76693,0.51788,1.23794,1.05378,0.01445,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,12105.1,1.37342,1.27505,0.0121,0.78012,0.66733,0.76818,0.51826,1.23702,1.05403,0.01444,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,12356.3,1.36547,1.27779,0.01199,0.77835,0.66925,0.76813,0.51846,1.23635,1.05372,0.01445,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,12607.7,1.3623,1.27222,0.01198,0.78132,0.66813,0.76935,0.51963,1.23539,1.04993,0.01444,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,12859.9,1.35635,1.27051,0.01195,0.77819,0.66802,0.76757,0.51941,1.23448,1.04989,0.01443,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,13111.5,1.35646,1.26547,0.01186,0.77839,0.66923,0.76819,0.51958,1.23337,1.04782,0.0144,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,13362.6,1.35505,1.25818,0.01179,0.77709,0.66997,0.76912,0.52106,1.23048,1.04867,0.01434,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,13614.7,1.35078,1.2512,0.01191,0.77351,0.67597,0.77062,0.52147,1.22819,1.04869,0.0143,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,13867.1,1.35716,1.24256,0.01187,0.77582,0.67409,0.77044,0.52204,1.22728,1.04806,0.01428,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,14118.1,1.34979,1.24355,0.0118,0.77335,0.67477,0.77043,0.52237,1.22763,1.04554,0.01429,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,14368.5,1.35157,1.23538,0.01178,0.77678,0.67342,0.77064,0.52277,1.22704,1.04101,0.01427,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,14619.3,1.34641,1.23289,0.01172,0.77433,0.67488,0.77056,0.52293,1.22686,1.03901,0.01427,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,14870.3,1.34498,1.23205,0.01175,0.77853,0.67345,0.77051,0.52308,1.225,1.03993,0.01423,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,15121.3,1.34115,1.22602,0.01166,0.78067,0.67297,0.77093,0.52334,1.22434,1.03811,0.01421,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,15371,1.34063,1.22271,0.01163,0.77904,0.67339,0.771,0.52341,1.22337,1.03877,0.01419,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,15621.9,1.33894,1.22147,0.01167,0.7861,0.66937,0.77123,0.524,1.22263,1.03897,0.01416,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,15872.8,1.33456,1.20955,0.01157,0.78479,0.66731,0.77032,0.52401,1.22179,1.03819,0.01415,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,16123.6,1.32934,1.20792,0.01152,0.78076,0.67123,0.7698,0.5242,1.21989,1.03796,0.01412,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,16373.9,1.32742,1.19713,0.01154,0.78368,0.66951,0.77045,0.52447,1.2195,1.03665,0.01411,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,16624.4,1.32333,1.19648,0.01137,0.78372,0.67049,0.77126,0.52517,1.21896,1.03572,0.0141,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,16875.2,1.318,1.18834,0.01139,0.77975,0.6717,0.77119,0.52524,1.21741,1.03603,0.01408,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,17125.7,1.31808,1.18498,0.01141,0.77651,0.67407,0.7716,0.52529,1.2165,1.03658,0.01405,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,17376.6,1.31438,1.18013,0.01133,0.77451,0.67671,0.77129,0.52521,1.21645,1.03646,0.01404,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,17628.1,1.31501,1.17875,0.0113,0.78319,0.67257,0.77193,0.52562,1.21678,1.03497,0.01404,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,17878.5,1.3071,1.17442,0.01118,0.77822,0.67583,0.77148,0.52557,1.21603,1.0341,0.01403,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,18129.4,1.31172,1.16549,0.0112,0.77944,0.67475,0.77186,0.52566,1.21604,1.03268,0.01404,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,18380.7,1.29994,1.16513,0.01117,0.77972,0.67401,0.77177,0.5256,1.21554,1.03305,0.01403,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,18631.7,1.29416,1.1535,0.01114,0.77884,0.67635,0.77244,0.52608,1.21491,1.03192,0.01402,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,18882.3,1.29256,1.14091,0.01103,0.77949,0.67723,0.77296,0.5265,1.21482,1.03047,0.01401,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,19132.7,1.29685,1.14166,0.01111,0.78336,0.6748,0.77325,0.52655,1.21428,1.03054,0.014,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,19382.5,1.28482,1.13064,0.01097,0.77881,0.67723,0.77334,0.52667,1.21344,1.03142,0.01398,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,19632.7,1.28041,1.12517,0.01086,0.78305,0.67402,0.77355,0.52693,1.21308,1.03058,0.01396,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,19883.5,1.27958,1.13086,0.01088,0.78241,0.67461,0.77333,0.52708,1.21334,1.02879,0.01397,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,20135.2,1.27315,1.11475,0.0108,0.78507,0.67238,0.77308,0.527,1.2132,1.0293,0.01397,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,20385.3,1.27104,1.10551,0.01078,0.78716,0.67147,0.77312,0.52704,1.21327,1.02881,0.01398,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,20635.7,1.26874,1.10126,0.01069,0.78794,0.66968,0.7727,0.52705,1.21263,1.02993,0.01396,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,20886.2,1.26449,1.08969,0.0107,0.7871,0.66927,0.77248,0.52708,1.2121,1.03007,0.01394,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,21138.1,1.25908,1.08936,0.01065,0.78367,0.67238,0.77196,0.5272,1.21211,1.03016,0.01394,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,21388,1.25672,1.07141,0.01058,0.78604,0.67139,0.77204,0.52731,1.21195,1.02987,0.01393,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,21638.1,1.25423,1.06812,0.01055,0.78363,0.67094,0.77133,0.52689,1.21088,1.03191,0.01391,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,21889.1,1.24236,1.05525,0.01043,0.7827,0.66988,0.77121,0.52668,1.21095,1.03203,0.01391,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,22139.1,1.24071,1.05112,0.0104,0.78067,0.66992,0.77097,0.52678,1.21152,1.03184,0.01392,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,22389.5,1.23311,1.04376,0.01041,0.78398,0.66887,0.77114,0.52693,1.21195,1.03234,0.01393,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,22640.4,1.23133,1.03351,0.01025,0.78634,0.66737,0.77107,0.52693,1.21176,1.03319,0.01393,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,22904,1.22805,0.92579,0.01187,0.78507,0.66831,0.7705,0.52667,1.21214,1.03422,0.01393,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,23148.8,1.21248,0.90062,0.01166,0.78373,0.6676,0.77014,0.52639,1.21125,1.0366,0.01393,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,23394.2,1.20496,0.87769,0.01153,0.78586,0.66735,0.76996,0.52644,1.2114,1.03737,0.01393,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,23639,1.19778,0.86111,0.01133,0.78924,0.66365,0.76978,0.52639,1.21221,1.03804,0.01395,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,23884.7,1.18564,0.84489,0.01119,0.78964,0.66286,0.76906,0.52606,1.21294,1.03881,0.01397,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,24130.3,1.18133,0.8398,0.0111,0.78504,0.66445,0.76845,0.52551,1.21268,1.04213,0.01397,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,24375.7,1.16753,0.82481,0.01094,0.78347,0.66514,0.76844,0.52584,1.21342,1.04343,0.01399,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,24621.5,1.16138,0.80941,0.01082,0.78461,0.66482,0.76808,0.52572,1.21315,1.04639,0.01397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,24866.4,1.15504,0.80211,0.0107,0.78216,0.66652,0.76705,0.52536,1.21397,1.04851,0.01399,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,25111.7,1.14591,0.78322,0.01056,0.78241,0.66771,0.76653,0.5251,1.215,1.04955,0.01401,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
